,Unnamed: 0,formatted_address,name,place_id,rating,user_ratings_total,geometry.location.lat,geometry.location.lng,opening_hours.open_now,permanently_closed,price_level
5953,5953,"Hausimollstrasse 1, 4622 Egerkingen, Switzerland",JUMBO Egerkingen Gäupark,ChIJTY1ocgotkEcR-ANN3fHLUGg,4.2,780.0,47.317046,7.8019461,True,,
5954,5954,"EKZ Gäupark, 4622 Egerkingen, Switzerland",k kiosk,ChIJrQuYMGgtkEcREDUZuGdBfAU,2.3,3.0,47.3174444,7.8013463,True,,
5955,5955,"Hausimollstrasse 1 Im Gäupark, 4622 Egerkingen, Switzerland",Müller,ChIJTY1ocgotkEcRcrDY_jExbbY,4.0,6.0,47.3177878,7.801956499999999,True,,
5956,5956,"Hausimollstrasse 3, 4622 Egerkingen, Switzerland",Coop Vitality,ChIJq8VnhaAtkEcRy8fe81rhveU,3.4,28.0,47.317927,7.8033179,True,,
5957,5957,"Gäupark, Hausimollstrasse 1, 4622 Egerkingen, Switzerland",Weltbild Filiale Egerkingen,ChIJTY1ocgotkEcR53kirSvx2is,3.9,30.0,47.3179567,7.801217999999999,True,,
5958,5958,"Gäupark, Hausimollstrasse 1, 4622 Egerkingen, Switzerland",melectronics,ChIJTY1ocgotkEcRB89WTpG2QOk,4.6,43.0,47.317651,7.802188,True,,
5959,5959,"Hausimollstrasse 14, 4622 Egerkingen, Switzerland",Drink-Store,ChIJ_Rt6DCnWkUcRh2a6NLSXaQA,4.8,22.0,47.316683,7.8037309,True,,
5960,5960,"Hausimollstrasse 14, 4622 Egerkingen, Switzerland",Dosenbach,ChIJTY1ocgotkEcRPpAK7UPd-gI,4.0,30.0,47.31686209999999,7.803646799999999,True,,
5961,5961,"Mittelgäustrasse 58, 4617 Gunzgen, Switzerland",Volg gunzgen Detailhandels AG,ChIJ106CuMAtkEcR5BNCr9ynYmg,4.3,99.0,47.3151362,7.826924699999998,True,,
5962,5962,"Hausimollstrasse 8, 4622 Egerkingen, Switzerland",Fressnapf Egerkingen,ChIJie0xQwotkEcR9up4wp5ckE0,4.3,226.0,47.31787629999999,7.8006378,True,,
5963,5963,"Hausimollstrasse 1, 4622 Egerkingen, Switzerland",Gäupark Shopping Centre,ChIJ79drdgotkEcRlqwTnfOJEVU,4.3,4135.0,47.3177358,7.8026119,True,,
5964,5964,"Bündenweg 2, 4624 Härkingen, Switzerland",Bottega Ricchi Sapori GmbH,ChIJfZ5nm7UtkEcR1kFQ0fuk-gc,0.0,0.0,47.3028935,7.821276999999998,,,
5965,5965,"Fulenbacherstrasse 6, 4624 Härkingen, Switzerland",Metzgerei Bleicher,ChIJQRLFOowAkEcR45EefOWd998,5.0,25.0,47.30898029999999,7.8182625,True,,
